번호,시도,시군구,선별진료소,전화번호
59,서울,은평구,가톨릭대학교 은평성모병원*,02-958-2114
60,서울,종로구,종로구보건소*,02-2148-3557
61,서울,종로구,강북삼성병원*,02-2001-2001
62,서울,종로구,서울적십자병원,02-2002-8650
63,서울,중구,인제대학교서울백병원*,02-2270-0114
64,서울,중구,중구보건소*,02-3396-5181
65,서울,중구,중구보건소 명동선별상담소,02-3396-5181
66,서울,중랑구,중랑구보건소*,02-2094-0800
67,서울,중랑구,서울의료원*,02-2276-8333
68,부산,강서구,강서구보건소*,051-970-3415
69,부산,강서구,갑을녹산병원,051-974-8449
70,부산,금정구,금정구보건소*,051-519-5051
71,부산,금정구,세웅병원*,051-500-9700
72,부산,기장군,동남권원자력의원*,051-720-5114
73,부산,기장군,기장군보건소*,051-709-4796
74,부산,남구,남구 보건소*,051-607-6460
75,부산,남구,부산성모병원,051-933-7119
76,부산,동구,봉생병원*,051-664-4000
77,부산,동구,동구보건소*,051-440-6500
78,부산,동구,좋은문화병원*,051-644-2002
79,부산,동래구,대동병원*,051-554-1233
80,부산,동래구,동래구보건소 *,051-555-4000
81,부산,부산진구,인제대학교부산백병원*,051-890-8933
82,부산,부산진구,부산진구보건소*,051-645-4000
83,부산,부산진구,온종합병원,051-607-0139
84,부산,부산진구,동의병원,051-850-8777
85,부산,부산진구,춘해병원,051-608-0119
86,부산,북구,북구보건소*,051-309-4500
87,부산,북구,의료법인 인당의료재단 부민병원*,051-330-3000
88,부산,북구,구포성심병원,051-330-2001
89,부산,사상구,사상구보건소*,051-310-4791
90,부산,사상구,좋은삼선병원*,051-322-0900
91,부산,사하구,사하구보건소*,051-220-5701
92,부산,서구,서구 보건소*,051-242-4000
93,부산,서구,동아대학교병원*,051-240-2400
94,부산,서구,고신대학교복음병원*,051-990-3233
95,부산,서구,삼육부산병원*,051-600-7575
96,부산,수영구,좋은강안병원*,051-625-0900
97,부산,수영구,비에이치에스한서병원*,051-756-0081
98,부산,수영구,수영구보건소*,051-752-4000
99,부산,연제구,연제구보건소*,051-665-4781
100,부산,영도구,영도구보건소*,051-419-4931
101,부산,영도구,영도병원*,051-419-7881
102,부산,영도구,해동병원*,051-410-6682
103,부산,중구,중구 보건소*,051-600-4741
104,부산,중구,메리놀병원*,"(주)051- 461-2348, (야)051- 461-2300"
105,부산,해운대구,해운대구보건소*,051-746-4000
106,부산,해운대구,해운대부민병원*,051-602-8000
107,부산,해운대구,인제대학교해운대백병원*,051-797-0119
108,대구,남구,영남대학교병원*,"053-623-8001, 053-620-3332"
109,대구,남구,대구 가톨릭대학교병원*,053-650-3000
110,대구,남구,남구보건소*,"053-664-3644, 053-664-3582"
111,대구,달서구,달서구보건소*,"053-667-5754, 053-667-3123"
112,대구,달서구,계명대학교 동산병원*,053-258-6879
113,대구,달서구,보광병원*,053-651-3232
114,대구,달서구,의료법인구의료재단 구병원*,053-560-9114
115,대구,달서구,삼일병원*,053-659-3100
116,대구,달서구,더블유병원*,053-550-5003
117,대구,달성군,달성군보건소*,"053-668-3121, 053-668-3114"
118,대구,동구,대구파티마병원*,"1688-7770, 053-940-7098"
119,대구,동구,동구보건소*,"053-662-3225, 053-662-3274"
120,대구,북구,칠곡경북대학교병원*,053-200-2000
121,대구,북구,북구보건소*,"053-665-2756, 053-665-2760"
122,대구,북구,대구가톨릭대학교 칠곡가톨릭병원*,053-320-2186
123,대구,서구,서구보건소*,"053-663-3176, 053-663-3178"
124,대구,수성구,수성구보건소*,"053-666-3264, 053-666-3266"
125,대구,중구,중구보건소*,"053-661-3804, 053-661-3826"
126,인천,강화군,강화군보건소*,032-930-4081
127,인천,강화군,비에스종합병원*,032-290-0001
128,인천,계양구,한림병원*,032-540-9114
129,인천,계양구,메디플렉스 세종병원*,032-240-8000
130,인천,계양구,계양구보건소*,032-430-7821
131,인천,남동구,남동구보건소*,032-466-3808
132,인천,동구,의료법인성수의료재단인천백병원*,032-765-7070
133,인천,동구,동구보건소*,032-770-5700
134,인천,미추홀구,현대유비스 병원*,032-890-5509
135,인천,미추홀구,미추홀구보건소*,032-880-5311
136,인천,부평구,가톨릭대학교 인천성모병원*,1544-9004
137,인천,부평구,부평세림병원*,032-524-0591
138,인천,부평구,근로복지공단 인천병원*,032-500-0114
139,인천,부평구,부평구보건소*,032-509-8200
140,인천,서구,국제성모병원*,1600-8291
141,인천,서구,나은병원*,032-584-0114
142,인천,서구,성민병원*,032-726-1119
143,인천,서구,검단탑병원*,032-590-0114
144,인천,서구,온누리병원*,032-568-9111
145,인천,서구,서구보건소*,032-560-5000
146,인천,연수구,나사렛 국제병원*,032-899-9999
147,인천,연수구,연수구보건소*,032-749-8000
148,인천,연수구,인천적십자병원*,032-899-4287
149,인천,옹진군,옹진군보건소*,032-899-3120
150,인천,옹진군,백령병원*,032-836-1731
151,인천,중구,인천기독병원*,032-270-8000
152,인천,중구,중구보건소*,032-760-6050
153,인천,중구,중구보건소 용유지소*,032-760-8991
154,인천,중구,영종보건지소*,032-760-6800
155,광주,광산구,광산구보건소*,062-960-8859
156,광주,광산구,첨단종합병원*,"주 062-601-8771, 야 062-601-8119"
157,광주,광산구,KS병원*,062-975-9119
158,광주,남구,광주기독병원*,062-650-5119
159,광주,남구,남구보건소*,062-607-4450
160,광주,동구,동구보건소*,062-608-3312
161,광주,북구,광주일곡병원,062-608-7119
162,광주,북구,북구보건소*,062-410-8961
163,광주,서구,서광병원*,"062-600-8119, 8161"
164,광주,서구,서구보건소*,062-350-4158
165,대전,대덕구,대덕구보건소*,042-608-5436~40
166,대전,대덕구,대전보훈병원*,"042-939-0118, 0100"
167,대전,대덕구,근로복지공단 대전병원*,"(주)042-670-5406, (야)042-670-5119"
168,대전,동구,동구보건소*,042-251-6305
169,대전,동구,대전한국병원*,042-606-1500
170,대전,서구,서구보건소*,042-288-4500
171,대전,서구,건양대학교병원*,042-600-9999
172,대전,서구,을지대학교병원*,042-259-1060
173,대전,유성구,유성구보건소*,042-611-5047
174,대전,유성구,유성선병원*,042-609-1000
175,대전,중구,중구보건소*,042-288-8043
176,대전,중구,대전선병원*,042-220-8114
177,대전,중구,대전성모병원*,042-220-9114
178,울산,남구,울산병원*,052-259-5000
179,울산,남구,좋은삼정병원*,052-220-7500
180,울산,남구,의)정안의료재단 중앙병원*,052-226-1100
181,울산,남구,남구보건소*,052-226-2805
182,울산,동구,동구보건소*,052-209-4080
183,울산,북구,울산시티병원*,052-280-9000
184,울산,북구,북구보건소*,052-289-3450
185,울산,울주군,서울산보람병원*,052-255-7114
186,울산,울주군,울주군보건소*,052-265-9095
187,울산,울주군,남부통합보건지소*,052-204-2818
188,울산,중구,동강병원*,052-241-1114
189,울산,중구,중구보건소*,052-290-4300
190,세종,세종,세종특별자치시보건소*,044-301-2000
191,세종,세종,충남대학교병원세종의원*,044-960-5000
192,경기,가평군,가평군보건소*,031-582-2488
193,경기,가평군,HJ매그놀리아국제병원*,031-589-4300
194,경기,고양시,덕양구 보건소*,031-8075-4059
195,경기,고양시,일산동구보건소*,031-8075-4135
196,경기,고양시,일산서구보건소*,031-8075-4212
197,경기,고양시,인제대학교 일산백병원*,031-910-7297
198,경기,고양시,동국대학교일산불교병원*,031-961-8010
199,경기,고양시,국민건강보험공단 일산병원*,031-900-0114
200,경기,고양시,일산복음병원*,"031-929-0330,0331"
201,경기,과천시,과천시보건소*,02-2150-3832
202,경기,광명시,광명성애병원,02-2680-7115
203,경기,광명시,광명시보건소*,02-2680-2577
204,경기,광주시,광주시보건소*,031-760-2359
205,경기,광주시,참조은병원,031-881-9285
206,경기,구리시,구리시보건소*,031-550-8618
207,경기,구리시,한양대학교구리병원*,1644-9118
208,경기,군포시,효신의료재단 지샘병원*,031-389-3000
209,경기,군포시,원광대학교 산본병원*,031-390-2300
210,경기,군포시,군포시보건소*,031-461-5464
211,경기,김포시,김포우리병원*,031-999-1000
212,경기,김포시,뉴고려병원*,031-998-8129
213,경기,김포시,김포시보건소*,031-980-5080
214,경기,남양주시,남양주보건소*,031-590-4454
215,경기,남양주시,남양주풍양보건소*,031-590-6956
216,경기,남양주시,남양주한양병원*,"031-510-0114, 031-510-0119"
217,경기,남양주시,현대병원*,031-574-9118
218,경기,동두천시,동두천보건소*,031-860-3395
219,경기,부천시,부천시보건소*,032-625-4125
220,경기,부천시,부천시 오정보건소,032-625-8881
221,경기,부천시,부천시 소사보건소,032-625-8881~4
222,경기,부천시,순천향대학교 부천병원*,032-621-5114
223,경기,부천시,가톨릭대학교부천성모병원*,032-340-2402
224,경기,부천시,부천세종병원*,"주간) 032-340-1897, 야간) 032-340-1119"
225,경기,성남시,중원구보건소*,031-729-3895
226,경기,성남시,분당구보건소*,031-729-4004
227,경기,성남시,분당제생병원*,031-779-0100
228,경기,성남시,분당차병원 *,031-780-5546
229,경기,성남시,수정구보건소*,031-729-3872
230,경기,성남시,성남시의료원*,031-738-7000
231,경기,성남시,순천의료재단정병원*,031-750-6000
232,경기,성남시,성남중앙병원*,031-799-5366
233,경기,수원시,권선구보건소*,031-228-6716
234,경기,수원시,영통구보건소*,031-228-8808
235,경기,수원시,장안구보건소*,031-228-5715
236,경기,수원시,팔달구보건소*,031-228-7716
237,경기,수원시,아주대학교병원*,031-219-5114
238,경기,수원시,경기도의료원 수원병원*,"031-888-0119, 031-888-0129"
239,경기,수원시,성빈센트병원*,1577-8588
240,경기,수원시,동수원병원*,031-210-0114
241,경기,시흥시,석경의료재단 센트럴병원*,031-8041-3530
242,경기,시흥시,신천연합병원 *,031-310-6300
243,경기,시흥시,시흥시화병원*,031-432-2600
244,경기,시흥시,시흥시보건소*,031-310-5813
245,경기,시흥시,시흥시 정왕보건지소*,031-310-5907
246,경기,안산시,단원보건소*,031-481-6363
247,경기,안산시,안산시상록수보건소*,031-481-5894
248,경기,안산시,고대안산병원*,031-412-5400
249,경기,안산시,한도병원*,031-8040-1369
250,경기,안산시,근로복지공단안산병원*,031-500-1114
251,경기,안성시,경기도의료원 안성병원*,031-8046-5000
252,경기,안성시,안성성모병원*,031-675-6007
253,경기,안성시,안성시보건소*,031-678-5710
254,경기,안양시,동안구보건소*,031-8045-4472
255,경기,안양시,만안구보건소*,031-8045-3472
256,경기,안양시,한림대학교 성심병원*,031-380-1500
257,경기,안양시,안양샘병원*,031-467-9119
258,경기,양주시,양주시보건소*,031-8082-7116
259,경기,양평군,양평군보건소*,031-770-3490
260,경기,양평군,양평병원*,031-770-5119
261,경기,여주시,세종여주병원,031-880-7700
262,경기,여주시,여주시보건소*,031-887-3601
263,경기,연천군,연천군 보건의료원*,031-839-4064
264,경기,오산시,오산시보건소*,031-8036-6025
265,경기,오산시,오산한국병원*,031-379-8300
266,경기,용인시,기흥구보건소*,031-324-6940
267,경기,용인시,수지구보건소*,"031-324-8451, 8452, 8453"
268,경기,용인시,강남병원*,031-300-0119
269,경기,용인시,처인구보건소*,031-324-2114
270,경기,용인시,영문의료재단 다보스병원*,031-8021-2000
271,경기,용인시,용인세브란스병원,031-331-8888
272,경기,용인시,용인서울병원*,031-322-0001
273,경기,의왕시,의왕시보건소*,031-345-3572
274,경기,의왕시,아가페의료재단 시티병원*,031-340-2555
275,경기,의정부시,경기도의료원의정부병원 (응급실)*,031-828-5143
276,경기,의정부시,의정부시보건소,031-870-6011~4
277,경기,의정부시,가톨릭대학교 의정부성모병원*,1661-7500
278,경기,의정부시,추병원*,031-823-8063
279,경기,의정부시,의정부백병원*,031-842-1211
280,경기,이천시,경기도의료원 이천병원*,031-630-4200
281,경기,이천시,이천시보건소*,031-635-2400
282,경기,파주시,파주시보건소*,031-940-4800
283,경기,파주시,경기도의료원 파주병원*,031-940-9100
284,경기,평택시,의료법인 백송의료재단 굿모닝병원*,031-5182-7700
285,경기,평택시,의료법인 박애의료재단 박애병원*,031-652-2121
286,경기,평택시,의료법인 양진의료재단 평택성모병원*,1800-8800
287,경기,평택시,평택보건소*,031-8024-5559
288,경기,평택시,평택시 안중보건지소*,031-8024-8618
289,경기,평택시,박병원*,031-666-2600
290,경기,평택시,송탄보건소*,031-8024-7273
291,경기,포천시,포천시보건소*,031-538-3600
292,경기,포천시,경기도의료원 포천병원*,031-539-9114
293,경기,포천시,소흘보건지소*,031-538-4486
294,경기,포천시,일동보건지소*,031-538-4488
295,경기,하남시,하남시보건소*,031-790-6555
296,경기,화성시,화성중앙종합병원*,031-371-8080
297,경기,화성시,화성시보건소*,031-5189-1200
298,경기,화성시,화성시보건소 동탄보건지소*,031-5189-1200
299,경기,화성시,동탄성심병원*,1522-2500
300,경기,화성시,원광종합병원*,031-8077-7219
301,경기,화성시,남양디에스병원*,031-5180-7777
302,강원,강릉시,강릉아산병원*,033-610-4111
303,강원,강릉시,강릉동인병원*,033-651-6161
304,강원,강릉시,강릉고려병원,033-649-0333
305,강원,강릉시,강릉시보건소*,033-660-3090
306,강원,고성군,고성군보건소*,033-681-4000
307,강원,동해시,동해시보건소*,033-530-2402
308,강원,동해시,동해동인병원*,033-530-0119
309,강원,동해시,근로복지공단 동해병원*,033-530-3119
310,강원,삼척시,삼척의료원*,"(주간)033-570-7545, (야간)033-570-7431"
311,강원,삼척시,삼척시보건소*,033-570-4649
312,강원,속초시,속초시보건소*,033-639-2924
313,강원,속초시,강원도속초의료원*,"(주간)033-630-6190, (야간)033-630-6122"
314,강원,속초시,속초보광병원*,"(주간)033-639-8557, (야간)033-639-8988"
315,강원,양구군,양구군보건소*,"(주간)033-480-2791, (야간)033-480-2550"
316,강원,양구군,의료법인 성심의료재단 양구성심병원*,033-480-8800
317,강원,양양군,양양군보건소*,"(주간)033-670-2119, (야간)033-670-2880"
318,강원,영월군,강원도영월의료원*,033-370-9129
319,강원,영월군,영월군보건소*,033-370-2448
320,강원,원주시,연세대학교 원주세브란스기독병원*,033-741-1641
321,강원,원주시,원주시보건소*,"(주간)033-737-4007, (야간)033-737-4065"
322,강원,원주시,강원도원주의료원*,033-760-4701~2
323,강원,인제군,인제군보건소*,"(주간)033-460-2516, (야간)033-461-2425"
324,강원,정선군,근로복지공단정선병원*,033-560-7110
325,강원,정선군,정선군보건소*,033-560-2739
326,강원,철원군,철원군보건소*,"033-450-5550, 5468"
327,강원,철원군,철원병원,033-450-3321
328,강원,춘천시,한림대학교 춘천성심병원*,"(주간)033-240-5815, (야간)033-240-5219"
329,강원,춘천시,춘천시보건소*,"(주간)033-250-4590, (야간)033-250-4597"
330,강원,태백시,태백시보건소*,"(주간)033-550-2718, (야간)033-552-4000"
331,강원,태백시,근로복지공단 태백병원*,"(주간)033-581-6390, (야간)033-580-3119"
332,강원,평창군,평창군보건의료원*,"(주간)033-330-4877, (야간)033-330-4800"
333,강원,홍천군,홍천아산병원*,033-430-5119
334,강원,홍천군,홍천군보건소*,033-430-4024
335,강원,화천군,화천군보건의료원*,033-442-4424
336,강원,횡성군,횡성대성병원*,033-343-0901
337,강원,횡성군,횡성군보건소*,033-340-5707
338,충북,괴산군,괴산군보건소*,043-832-4000
339,충북,괴산군,괴산성모병원*,043-830-5400
340,충북,단양군,단양군보건소*,043-420-3263
341,충북,단양군,단양군립노인요양병원*,043-423-8844
342,충북,보은군,(의료법인)정민의료재단 보은한양병원*,043-544-1500
343,충북,보은군,보은군보건소*,043-540-5601
344,충북,영동군,영동병원*,043-740-9000
345,충북,영동군,영동군보건소*,043-740-5612
346,충북,옥천군,옥천성모병원*,043-730-7000
347,충북,옥천군,옥천군보건소*,043-730-2114
348,충북,음성군,음성군보건소*,043-872-2136
349,충북,음성군,금왕태성병원*,043-883-8800
350,충북,제천시,제천 서울병원*,043-642-7609
351,충북,제천시,제천시보건소*,043-646-2720
352,충북,제천시,명지병원(제천)*,043-640-8373
353,충북,증평군,증평군보건소*,043-835-4220
354,충북,진천군,진천성모병원*,043-533-1711
355,충북,진천군,진천군보건소*,043-539-7333
356,충북,청주시,상당보건소*,043-201-3143
357,충북,청주시,의료법인 인화재단한국병원*,043-222-7000
358,충북,청주시,의료법인정산의료재단효성병원*,043-221-5000
359,충북,청주시,서원보건소*,043-201-3207
360,충북,청주시,충청북도 청주의료원*,043-279-2300
361,충북,청주시,청주성모병원*,043-219-8000
362,충북,청주시,청원보건소*,043-201-3442
363,충북,청주시,흥덕보건소*,043-201-3342
364,충북,청주시,한마음의료재단 하나병원*,043-230-6326
365,충북,청주시,베스티안병원*,043-910-7575
366,충북,충주시,충주시보건소*,043-850-3431
367,충북,충주시,충청북도 충주의료원*,043-871-0114
368,충북,충주시,건국대학교 충주병원*,043-840-8200
369,충남,계룡시,계룡시보건소*,042-840-3507
370,충남,공주시,충청남도공주의료원*,041-962-1111
371,충남,공주시,공주시 보건소*,041-840-2524
372,충남,금산군,새금산병원*,041-754-8272
373,충남,금산군,금산군보건소*,041-750-4311
374,충남,논산시,백제종합병원*,041-733-2191
375,충남,논산시,논산시보건소*,041-730-4086~7
376,충남,당진시,당진종합병원*,041-357-0100
377,충남,당진시,당진시보건소*,041-360-6003
378,충남,보령시,보령시보건소*,041-930-0900
379,충남,보령시,보령아산병원*,041-930-5333
380,충남,부여군,건양대학교 부여병원*,041-837-1200
381,충남,부여군,부여군보건소*,041-830-8600
382,충남,서산시,충청남도서산의료원*,041-689-7000
383,충남,서산시,서산시보건소*,041-661-8232
384,충남,서천군,서해병원*,041-951-8282
385,충남,서천군,서천군보건소*,041-950-6750
386,충남,아산시,아산충무병원*,041-536-6666
387,충남,아산시,아산시보건소*,041-537-3311
388,충남,아산시,현대병원*,041-546-3636
389,충남,예산군,의료법인 예당의료재단 예산종합병원*,041-330-4000
390,충남,예산군,예산군보건소*,041-339-6062
391,충남,천안시,천안시 서북구보건소*,041-521-2552
392,충남,천안시,천안시 동남구보건소*,041-521-2651
393,충남,천안시,학교법인동은학원 순천향대학교 부속천안병원*,1577-7523
394,충남,천안시,의료법인영서의료재단 천안충무병원*,041-570-7555
395,충남,천안시,충청남도천안의료원(소아청소년과 없음)*,041-570-7033
396,충남,청양군,청양군보건의료원*,041-942-3401
397,충남,태안군,태안군보건의료원*,041-671-5315
398,충남,홍성군,충청남도 홍성의료원*,041-630-6114
399,충남,홍성군,홍성군보건소*,041-632-2588
400,전북,고창군,고창군보건소*,063-560-8711
401,전북,고창군,(의)석천재단고창병원*,063-560-5600
402,전북,군산시,군산시보건소*,063-460-3200
403,전북,군산시,군산의료원*,063-472-5000
404,전북,군산시,동군산병원*,063-440-0516
405,전북,김제시,김제우석병원*,063-540-5114
406,전북,김제시,김제시보건소*,063-540-1300
407,전북,남원시,남원의료원*,063-620-1114
408,전북,남원시,남원시보건소*,063-625-4000
409,전북,무주군,무주군보건의료원*,063-320-8314
410,전북,부안군,부안군보건소*,063-584-1261
411,전북,부안군,부안성모병원*,063-581-5100
412,전북,순창군,순창군보건의료원*,063-650-5352
413,전북,완주군,고려병원,063-290-0114
414,전북,완주군,완주군보건소*,063-290-3133
415,전북,익산시,익산병원*,063-840-9112
416,전북,익산시,익산시보건소*,063-859-4811
417,전북,임실군,임실군보건의료원*,063-640-3119
418,전북,장수군,장수군보건의료원*,063-350-2119
419,전북,전주시,예수병원*,063-230-8282
420,전북,전주시,대자인병원*,063-250-8703
421,전북,전주시,전주병원*,063-220-7280
422,전북,전주시,전주시보건소(덕진진료실)*,063-250-3907
423,전북,전주시,호성전주병원*,063-240-8894
424,전북,정읍시,정읍아산병원*,063-530-6000
425,전북,정읍시,정읍시보건소*,063-539-6112
426,전북,진안군,진안군의료원*,063-430-7000
427,전북,진안군,진안군보건소*,063-430-8560
428,전남,강진군,강진의료원*,061-433-2167
429,전남,강진군,강진군보건소*,061-430-3592
430,전남,고흥군,고흥종합병원*,061-835-6000
431,전남,고흥군,고흥군보건소*,061-830-6688
432,전남,고흥군,녹동현대병원*,061-840-1200
433,전남,곡성군,곡성사랑병원*,061-360-6000
434,전남,곡성군,곡성군보건의료원*,061-360-7563
435,전남,광양시,광양사랑병원*,061-797-7000
436,전남,광양시,광양시보건소*,061-797-4015
437,전남,구례군,구례병원*,061-780-3300
438,전남,구례군,구례군보건의료원*,061-780-2673
439,전남,나주시,나주종합병원,061-330-6114
440,전남,나주시,나주시보건소*,061-339-2164
441,전남,나주시,빛가람동 선별진료소,061-339-2164
442,전남,나주시,산포면 선별진료소*,061-339-2164
443,전남,담양군,담양사랑병원*,061-380-9000
444,전남,담양군,담양군보건소*,061-380-3972
445,전남,목포시,목포한국병원*,061-270-5800
446,전남,목포시,목포기독병원*,061-280-7500
447,전남,목포시,목포중앙병원*,061-280-3000
448,전남,목포시,목포시의료원*,061-260-6500
449,전남,목포시,세안종합병원*,061-260-6713
450,전남,목포시,전남중앙병원*,061-260-3555
451,전남,목포시,목포시보건소*,061-277-4000
452,전남,무안군,대송의료재단 무안병원*,061-450-3111
453,전남,무안군,무안군보건소*,061-450-5021
454,전남,보성군,보성아산병원*,061-850-3606
455,전남,보성군,보성군보건소*,061-850-5684
456,전남,보성군,벌교삼호병원*,061-859-5051
457,전남,순천시,순천시보건소*,061-749-6680
458,전남,순천시,순천 성가롤로병원*,061-720-2000
459,전남,순천시,순천의료원*,061-759-9440
460,전남,순천시,순천 한국병원*,061-740-5291
461,전남,순천시,순천병원*,061-720-7580
462,전남,신안군,신안군보건소*,061-240-8084
463,전남,신안군,신안대우병원,061-262-3301
464,전남,여수시,여천전남병원*,061-690-6000
465,전남,여수시,여수시보건소*,061-659-4252
466,전남,여수시,여수전남병원,061-640-7118
467,전남,여수시,여수한국병원*,061-689-9119
468,전남,여수시,여수제일병원*,061-689-8119
469,전남,영광군,영광종합병원*,061-350-8119
470,전남,영광군,영광기독병원*,061-350-3000
471,전남,영광군,영광군보건소*,061-350-5552
472,전남,영암군,영암병원*,061-470-7100
473,전남,영암군,영암군보건소*,061-470-6536
474,전남,완도군,완도대성병원*,061-553-1234
475,전남,완도군,완도군보건의료원*,061-550-6767
476,전남,장성군,장성병원*,061-390-9000
477,전남,장성군,장성군보건소*,061-390-8333
478,전남,장흥군,장흥종합병원*,061-862-8300
479,전남,장흥군,장흥군보건소*,061-860-6481
480,전남,진도군,진도한국병원*,061-542-7575
481,전남,진도군,진도군보건소*,061-540-6074
482,전남,함평군,함평성심병원*,061-324-0001
483,전남,함평군,함평군보건소*,061-320-2417
484,전남,해남군,해남종합병원*,061-536-4116
485,전남,해남군,해남우리종합병원*,061-530-7000
486,전남,해남군,해남군보건소*,061-531-3745
487,전남,화순군,화순고려병원*,061-370-3700
488,전남,화순군,화순전남대학교병원*,061-1899-0000
489,전남,화순군,화순성심병원*,061-370-9114
490,전남,화순군,화순군보건소*,061-379-5342
491,경북,경산시,세명병원*,053-819-8500
492,경북,경산시,경산중앙병원*,053-715-0119
493,경북,경산시,경산시 보건소*,053-810-6314
494,경북,경주시,경주시 보건소*,054-779-8573
495,경북,경주시,경주시 주민건강지원센터*,054-779-8668
496,경북,고령군,고령군보건소*,054-954-1300
497,경북,고령군,고령영생병원*,054-955-2661
498,경북,구미시,구미순천향병원*,054-468-9114
499,경북,구미시,구미차병원*,054-450-9700
500,경북,구미시,구미강동병원,054-453-7575
501,경북,구미시,구미시 구미보건소*,054-480-4032
502,경북,군위군,군위군보건소*,054-383-4000
503,경북,김천시,김천의료원*,054-432-8901
504,경북,김천시,김천제일병원*,054-420-9440
505,경북,김천시,김천시 보건소*,054-433-4000
506,경북,문경시,문경제일병원*,054-550-7700
507,경북,문경시,문경중앙병원*,054-555-2011
508,경북,문경시,문경시 보건소*,054-555-2033
509,경북,봉화군,봉화군 보건소*,054-673-4000
510,경북,봉화군,봉화해성병원*,054-674-0011
511,경북,상주시,상주적십자병원*,054-534-3501
512,경북,상주시,상주성모병원*,054-532-5001
513,경북,상주시,상주시 보건소*,054-535-4000
514,경북,성주군,성주군보건소 *,054-933-2400
515,경북,안동시,안동시보건소*,"054-840-5999,5917"
516,경북,안동시,안동의료원*,054-850-6055
517,경북,안동시,안동병원*,054-840-1004
518,경북,안동시,안동성소병원 *,054-850-8114
519,경북,영덕군,영덕아산병원 *,054-730-0114
520,경북,영덕군,영덕군보건소*,054-730-6893
521,경북,영양군,영양군보건소*,054-680-5196
522,경북,영양군,영양병원*,054-682-0727
523,경북,영주시,영주시보건소*,054-631-4000
524,경북,영천시,영남대학교 영천병원 *,054-338-9000
525,경북,영천시,영천시 보건소*,054-339-7860
526,경북,예천군,예천군보건소*,054-650-8616
527,경북,예천군,예천권병원*,054-654-6611
